date,Ball One,Ball Two,Ball Three,Ball Four,Ball Five,payout
2007-01-01,7,23,30,6,26,108000
2007-01-02,16,18,37,22,25,144000
2007-01-03,25,39,36,5,17,50000
2007-01-04,10,2,6,34,35,80000
2007-01-05,34,35,3,36,13,122000
2007-01-06,24,23,7,29,19,169000
2007-01-07,27,12,1,8,22,50000
2007-01-08,3,38,30,16,4,60000
2007-01-09,9,1,19,5,17,92000
2007-01-10,22,28,2,9,21,135000
2007-01-11,3,16,1,36,6,171000
2007-01-12,29,14,21,26,8,50000
2007-01-13,2,16,33,39,27,50000
2007-01-14,6,27,15,29,7,70000
2007-01-15,25,3,2,34,29,50000
2007-01-16,6,29,18,34,21,59000
2007-01-17,25,34,30,18,27,101000
2007-01-18,27,34,12,9,29,142000
2007-01-19,26,18,35,17,1,181000
2007-01-20,16,36,13,14,20,233000
2007-01-21,28,22,16,35,24,50000
2007-01-22,32,23,6,24,31,60000
2007-01-23,10,19,36,5,35,93000
2007-01-24,8,11,4,6,24,50000
2007-01-25,22,23,1,2,30,84000
2007-01-26,15,5,4,16,7,118000
2007-01-27,2,30,1,9,6,50000
2007-01-28,5,8,22,26,37,69000
2007-01-29,9,37,25,7,20,50000
2007-01-30,35,4,34,39,11,64000
2007-01-31,31,10,2,37,22,108000
2007-02-01,6,22,36,14,32,145000
2007-02-02,17,7,32,31,9,50000
2007-02-03,3,21,18,23,2,87000
2007-02-04,15,22,31,25,6,124000
2007-02-05,10,29,19,31,21,50000
2007-02-06,37,33,13,7,34,70000
2007-02-07,26,37,12,3,2,115000
2007-02-08,34,17,33,7,31,164000
2007-02-09,38,23,17,32,21,50000
2007-02-10,23,38,2,37,6,85000
2007-02-11,16,36,19,23,27,122000
2007-02-12,34,7,12,8,29,50000
2007-02-13,29,25,13,23,31,67000
2007-02-14,28,17,4,36,5,112000
2007-02-15,5,16,19,15,6,152000
2007-02-16,21,4,7,34,23,201000
2007-02-17,26,5,24,20,8,50000
2007-02-18,35,9,16,19,20,50000
2007-02-19,2,26,36,28,9,60000
2007-02-20,31,29,2,30,25,93000
2007-02-21,27,25,19,11,33,142000
2007-02-22,11,26,27,8,16,192000
2007-02-23,8,21,23,27,5,50000
2007-02-24,18,33,7,15,4,82000
2007-02-25,16,35,1,17,2,113000
2007-02-26,24,12,4,18,1,148000
2007-02-27,29,4,39,36,28,200000
2007-02-28,13,3,32,14,1,265000
2007-03-01,36,24,25,3,32,337000
2007-03-02,7,6,5,4,14,432000
2007-03-03,19,1,2,14,34,533000
2007-03-04,32,12,28,26,14,50000
2007-03-05,24,25,33,35,30,68000
2007-03-06,8,28,17,32,36,50000
2007-03-07,7,27,14,9,6,86000
2007-03-08,28,1,39,30,22,135000
2007-03-09,29,9,10,25,15,182000
2007-03-10,19,28,26,4,3,244000
2007-03-11,14,30,27,31,9,285000
2007-03-12,10,17,21,6,34,50000
2007-03-13,37,27,38,1,24,69000
2007-03-14,29,25,22,1,31,115000
2007-03-15,2,6,33,36,1,165000
2007-03-16,25,36,22,20,9,216000
2007-03-17,8,1,12,9,10,50000
2007-03-18,30,23,31,28,4,50000
2007-03-19,10,20,25,11,21,57000
2007-03-20,15,29,1,19,36,90000
2007-03-21,19,33,23,39,24,141000
2007-03-22,27,23,1,30,34,185000
2007-03-23,24,5,18,14,11,240000
2007-03-24,11,21,36,17,3,50000
2007-03-25,2,38,34,28,10,71000
2007-03-26,39,20,30,13,26,50000
2007-03-27,11,28,23,25,17,66000
2007-03-28,36,5,31,37,27,50000
2007-03-29,21,2,24,37,22,79000
2007-03-30,4,24,22,20,18,119000
2007-03-31,28,35,18,24,14,160000
2007-04-01,15,5,22,2,11,201000
2007-04-02,1,4,16,20,18,251000
2007-04-03,19,36,6,23,3,310000
2007-04-04,4,35,14,31,13,50000
2007-04-05,37,20,18,6,23,50000
2007-04-06,32,18,3,28,21,65000
2007-04-07,38,3,12,33,10,112000
2007-04-08,10,9,37,14,33,149000
2007-04-09,13,4,31,22,38,50000
2007-04-10,18,31,6,4,37,50000
2007-04-11,11,28,16,13,29,71000
2007-04-12,31,16,21,35,27,50000
2007-04-13,12,35,34,30,16,67000
2007-04-14,15,16,26,28,34,109000
2007-04-15,5,20,9,23,31,146000
2007-04-16,8,24,12,29,22,188000
2007-04-17,17,35,12,18,23,237000
2007-04-18,23,18,1,27,38,308000
2007-04-19,35,8,33,21,22,50000
2007-04-20,2,12,33,10,15,72000
2007-04-21,33,11,37,24,23,110000
2007-04-22,39,7,20,11,4,147000
2007-04-23,27,9,23,3,24,188000
2007-04-24,5,31,17,18,35,238000
2007-04-25,31,19,12,13,6,50000
2007-04-26,18,14,21,24,4,74000
2007-04-27,34,39,37,33,20,110000
2007-04-28,1,30,8,14,37,50000
2007-04-29,25,6,27,32,33,66000
2007-04-30,6,7,21,35,5,96000
2007-05-01,20,4,8,31,5,137000
2007-05-02,20,24,13,37,1,186000
2007-05-03,31,11,28,22,19,233000
2007-05-04,32,20,35,33,21,300000
2007-05-05,1,3,38,18,28,376000
2007-05-06,39,3,9,27,29,50000
2007-05-07,24,9,13,7,28,50000
2007-05-08,5,7,34,19,22,50000
2007-05-09,10,28,32,18,16,69000
2007-05-10,14,8,5,25,35,110000
2007-05-11,25,12,30,34,1,147000
2007-05-12,17,12,7,22,29,192000
2007-05-13,16,38,29,3,20,50000
2007-05-14,24,23,18,5,34,56000
2007-05-15,6,35,27,21,19,79000
2007-05-16,12,4,39,25,37,119000
2007-05-17,39,3,7,28,18,162000
2007-05-18,27,31,37,20,4,205000
2007-05-19,11,1,12,7,38,263000
2007-05-20,20,22,7,1,32,298000
2007-05-21,35,15,22,21,20,352000
2007-05-22,33,7,29,17,34,419000
2007-05-23,39,11,36,18,25,50000
2007-05-24,17,16,30,2,23,71000
2007-05-25,27,26,32,25,9,112000
2007-05-26,14,20,16,35,17,146000
2007-05-27,22,5,39,24,1,183000
2007-05-28,27,30,10,34,16,220000
2007-05-29,16,6,2,28,31,50000
2007-05-30,32,6,14,20,9,58000
2007-05-31,22,36,26,23,6,97000
2007-06-01,10,7,37,34,39,50000
2007-06-02,19,11,7,23,20,70000
2007-06-03,5,30,29,2,18,106000
2007-06-04,28,18,26,5,35,140000
2007-06-05,38,2,30,16,34,181000
2007-06-06,35,33,5,7,2,50000
2007-06-07,22,38,20,6,34,50000
2007-06-08,20,21,25,8,31,66000
2007-06-09,39,12,33,26,16,108000
2007-06-10,31,16,37,20,14,128000
2007-06-11,9,37,39,23,11,164000
2007-06-12,11,13,25,2,10,207000
2007-06-13,9,8,33,35,21,266000
2007-06-14,21,34,1,18,27,321000
2007-06-15,37,5,35,10,38,390000
2007-06-16,19,28,29,36,26,50000
2007-06-17,21,22,19,3,31,68000
2007-06-18,7,37,14,26,18,93000
2007-06-19,33,18,22,8,7,129000
2007-06-20,9,36,6,12,4,50000
2007-06-21,33,37,22,32,11,66000
2007-06-22,21,9,19,5,20,95000
2007-06-23,24,27,21,25,12,135000
2007-06-24,11,17,27,13,4,50000
2007-06-25,8,32,14,35,13,53000
2007-06-26,32,10,2,7,1,76000
2007-06-27,19,39,30,27,5,113000
2007-06-28,3,24,9,25,33,151000
2007-06-29,11,38,19,3,9,188000
2007-06-30,25,14,32,27,39,237000
2007-07-01,17,16,23,21,30,50000
2007-07-02,22,26,4,15,16,53000
2007-07-03,36,22,32,4,25,79000
2007-07-04,24,17,29,34,26,124000
2007-07-05,9,11,10,29,23,153000
2007-07-06,8,32,6,7,27,190000
2007-07-07,29,24,9,36,8,50000
2007-07-08,17,31,22,20,26,50000
2007-07-09,39,34,23,21,4,53000
2007-07-10,12,14,23,9,35,77000
2007-07-11,23,39,4,21,34,113000
2007-07-12,10,24,35,3,6,50000
2007-07-13,10,2,15,36,25,50000
2007-07-14,5,32,1,23,11,68000
2007-07-15,31,7,14,35,20,95000
2007-07-16,37,29,5,18,4,124000
2007-07-17,8,16,28,10,35,163000
2007-07-18,9,5,7,32,20,212000
2007-07-19,34,26,9,30,8,263000
2007-07-20,13,23,1,29,24,50000
2007-07-21,22,23,8,35,28,71000
2007-07-22,24,30,16,8,36,50000
2007-07-23,17,11,26,28,30,53000
2007-07-24,22,23,32,17,14,50000
2007-07-25,25,22,26,3,31,62000
2007-07-26,19,31,8,7,23,98000
2007-07-27,21,6,4,26,38,133000
2007-07-28,6,38,35,19,36,179000
2007-07-29,39,35,15,5,26,218000
2007-07-30,16,19,32,14,1,270000
2007-07-31,16,34,18,26,21,50000
2007-08-01,21,33,8,3,16,67000
2007-08-02,31,27,25,37,15,102000
2007-08-03,30,27,16,5,34,143000
2007-08-04,23,11,24,21,35,193000
2007-08-05,16,2,10,14,23,50000
2007-08-06,25,3,10,35,17,53000
2007-08-07,35,3,39,24,7,81000
2007-08-08,11,34,6,7,5,120000
2007-08-09,28,33,23,4,25,165000
2007-08-10,18,30,19,3,14,207000
2007-08-11,32,10,3,23,36,267000
2007-08-12,13,31,8,25,29,315000
2007-08-13,37,9,3,26,20,382000
2007-08-14,16,33,22,36,11,469000
2007-08-15,27,8,24,3,28,50000
2007-08-16,7,11,23,16,37,76000
2007-08-17,30,17,14,28,23,110000
2007-08-18,16,22,11,12,25,157000
2007-08-19,12,35,10,5,7,196000
2007-08-20,9,32,8,5,37,297000
2007-08-21,23,26,33,7,12,50000
2007-08-22,33,30,2,10,18,76000
2007-08-23,36,4,24,29,30,110000
2007-08-24,30,11,32,35,18,150000
2007-08-25,22,3,18,27,24,202000
2007-08-26,25,34,30,21,37,253000
2007-08-27,28,6,32,34,21,303000
2007-08-28,30,20,35,25,16,365000
2007-08-29,37,1,30,38,27,50000
2007-08-30,3,19,27,7,34,78000
2007-08-31,8,22,2,11,21,113000
2007-09-01,27,25,8,3,38,169000
2007-09-02,39,10,2,5,29,50000
2007-09-03,9,39,17,13,37,55000
2007-09-04,8,7,2,15,36,90000
2007-09-05,5,39,3,23,14,50000
2007-09-06,23,6,27,39,19,75000
2007-09-07,37,17,10,36,33,50000
2007-09-08,25,15,39,34,1,75000
2007-09-09,5,26,18,32,13,108000
2007-09-10,29,1,8,30,10,145000
2007-09-11,22,15,36,3,38,203000
2007-09-12,20,33,12,22,31,280000
2007-09-13,38,8,28,34,3,343000
2007-09-14,13,18,26,36,12,433000
2007-09-15,19,10,1,25,8,50000
2007-09-16,13,6,2,18,38,93000
2007-09-17,19,22,4,18,33,50000
2007-09-18,26,4,18,25,11,50000
2007-09-19,36,17,12,20,39,85000
2007-09-20,14,20,21,6,25,137000
2007-09-21,16,38,11,13,15,187000
2007-09-22,16,36,14,12,11,50000
2007-09-23,18,21,13,26,8,83000
2007-09-24,5,9,13,14,20,117000
2007-09-25,8,24,35,36,17,167000
2007-09-26,34,4,27,33,37,227000
2007-09-27,24,32,16,1,4,295000
2007-09-28,21,38,24,15,9,361000
2007-09-29,10,2,17,6,3,50000
2007-09-30,23,21,33,8,29,50000
2007-10-01,12,15,11,37,5,59000
2007-10-02,39,5,2,34,35,105000
2007-10-03,32,37,10,38,29,163000
2007-10-04,14,26,35,13,32,220000
2007-10-05,22,16,33,24,4,281000
2007-10-06,17,24,3,35,37,355000
2007-10-07,36,4,34,15,16,50000
2007-10-08,26,1,33,39,20,60000
2007-10-09,7,6,39,4,8,103000
2007-10-10,31,36,39,37,21,160000
2007-10-11,1,30,22,26,29,50000
2007-10-12,16,11,32,12,27,50000
2007-10-13,10,23,35,20,31,90000
2007-10-14,26,11,23,27,16,125000
2007-10-15,19,17,3,5,38,158000
2007-10-16,27,9,3,4,37,202000
2007-10-17,31,14,13,32,24,265000
2007-10-18,24,19,38,4,8,318000
2007-10-19,11,21,19,6,25,388000
2007-10-20,35,6,13,34,8,470000
2007-10-21,8,5,13,15,6,542000
2007-10-22,35,27,37,24,32,50000
2007-10-23,24,7,30,37,18,69000
2007-10-24,38,32,33,30,13,110000
2007-10-25,32,38,27,3,5,153000
2007-10-26,32,13,10,8,12,202000
2007-10-27,29,19,12,11,26,264000
2007-10-28,16,19,35,24,28,305000
2007-10-29,11,27,39,17,37,363000
2007-10-30,21,6,37,13,20,432000
2007-10-31,22,34,14,13,19,520000
2007-11-01,34,37,31,24,16,630000
2007-11-02,14,17,24,6,7,760000
2007-11-03,15,22,25,9,11,50000
2007-11-04,24,5,31,29,15,50000
2007-11-05,10,7,27,25,4,61000
2007-11-06,37,21,28,26,8,50000
2007-11-07,16,22,2,6,21,80000
2007-11-08,28,29,38,31,3,122000
2007-11-09,31,29,1,25,39,165000
2007-11-10,2,25,12,7,33,226000
2007-11-11,33,1,23,3,36,275000
2007-11-12,13,27,23,4,20,326000
2007-11-13,20,38,22,32,35,396000
2007-11-14,32,9,18,15,28,470000
2007-11-15,23,11,15,17,8,559000
2007-11-16,38,17,36,29,23,645000
2007-11-17,8,6,33,19,28,765000
2007-11-18,12,36,15,6,14,842000
2007-11-19,8,34,15,38,36,50000
2007-11-20,29,30,11,38,12,73000
2007-11-21,33,12,39,17,10,114000
2007-11-22,7,25,9,17,5,162000
2007-11-23,11,34,20,2,9,207000
2007-11-24,29,11,1,38,30,273000
2007-11-25,33,8,16,12,9,318000
2007-11-26,10,24,32,11,36,50000
2007-11-27,10,22,20,32,3,71000
2007-11-28,23,16,3,25,36,115000
2007-11-29,29,10,2,35,5,50000
2007-11-30,20,21,39,6,19,66000
2007-12-01,8,13,2,11,26,116000
2007-12-02,36,25,28,4,18,158000
2007-12-03,15,11,14,24,8,50000
2007-12-04,22,17,11,38,24,70000
2007-12-05,5,28,37,14,36,116000
2007-12-06,25,7,4,18,24,158000
2007-12-07,2,7,26,11,4,206000
2007-12-08,33,12,28,2,31,266000
2007-12-09,27,14,11,23,38,312000
2007-12-10,9,38,24,37,28,50000
2007-12-11,20,18,16,23,30,67000
2007-12-12,35,15,36,1,19,113000
2007-12-13,8,22,28,6,25,154000
2007-12-14,39,9,36,4,32,206000
2007-12-15,8,17,15,11,29,50000
2007-12-16,16,30,38,35,11,50000
2007-12-17,20,9,28,6,10,50000
2007-12-18,39,33,12,3,24,63000
2007-12-19,35,18,15,32,21,110000
2007-12-20,39,11,28,4,24,150000
2007-12-21,24,34,37,38,11,200000
2007-12-22,11,16,14,35,13,261000
2007-12-23,23,1,8,38,9,306000
2007-12-24,31,23,3,20,10,360000
2007-12-25,1,36,37,21,17,425000
2007-12-26,1,29,15,33,37,50000
2007-12-27,39,4,9,21,12,79000
2007-12-28,22,26,37,19,36,116000
2007-12-29,18,39,24,21,30,170000
2007-12-30,7,13,8,23,5,50000
2007-12-31,1,32,20,30,28,59000
2008-01-01,23,17,15,22,29,108000
2008-01-02,19,23,4,14,31,50000
2008-01-03,27,35,26,8,33,75000
2008-01-04,15,13,10,29,17,119000
2008-01-05,6,36,30,27,5,170000
2008-01-06,4,3,25,32,19,213000
2008-01-07,20,31,5,36,15,50000
2008-01-08,6,4,11,24,35,66000
2008-01-09,8,13,9,26,35,114000
2008-01-10,21,30,11,26,16,153000
2008-01-11,39,29,20,19,18,50000
2008-01-12,32,20,36,26,7,78000
2008-01-13,23,36,26,6,31,112000
2008-01-14,9,2,21,4,25,149000
2008-01-15,27,1,9,17,19,194000
2008-01-16,38,32,12,36,31,50000
2008-01-17,10,34,14,17,18,50000
2008-01-18,1,37,27,31,4,67000
2008-01-19,15,17,28,8,39,50000
2008-01-20,15,19,21,9,30,72000
2008-01-21,27,34,35,29,30,103000
2008-01-22,27,24,35,21,3,140000
2008-01-23,25,1,12,32,27,50000
2008-01-24,28,38,16,6,34,75000
2008-01-25,17,21,30,35,27,50000
2008-01-26,25,15,3,11,7,73000
2008-01-27,34,6,32,35,19,109000
2008-01-28,9,8,4,34,30,142000
2008-01-29,7,16,38,10,9,188000
2008-01-30,12,3,32,5,23,245000
2008-01-31,24,14,18,37,11,302000
2008-02-01,5,25,37,24,9,373000
2008-02-02,19,5,15,12,2,50000
2008-02-03,9,1,16,28,35,76000
2008-02-04,32,27,7,5,22,111000
2008-02-05,1,28,37,10,8,155000
2008-02-06,27,14,25,5,31,210000
2008-02-07,21,37,34,31,18,50000
2008-02-08,11,16,13,38,32,50000
2008-02-09,17,35,25,5,10,77000
2008-02-10,39,7,36,28,3,114000
2008-02-11,28,39,31,26,30,149000
2008-02-12,30,34,31,36,11,200000
2008-02-13,9,32,33,36,16,260000
2008-02-14,33,25,34,8,21,50000
2008-02-15,24,30,22,15,33,70000
2008-02-16,27,5,28,20,6,50000
2008-02-17,35,5,32,31,9,76000
2008-02-18,37,2,21,30,20,50000
2008-02-19,37,21,10,22,33,50000
2008-02-20,38,20,11,3,5,74000
2008-02-21,37,32,10,4,21,110000
2008-02-22,39,5,16,6,27,50000
2008-02-23,19,12,34,2,32,78000
2008-02-24,2,34,19,16,31,108000
2008-02-25,30,1,20,9,3,149000
2008-02-26,9,31,21,1,16,50000
2008-02-27,13,37,14,22,34,76000
2008-02-28,7,32,25,15,27,50000
2008-02-29,24,35,31,27,25,67000
2008-03-01,13,26,16,7,8,123000
2008-03-02,14,24,38,16,6,159000
2008-03-03,8,14,17,5,26,196000
2008-03-04,39,3,33,1,25,50000
2008-03-05,11,32,36,8,10,79000
2008-03-06,3,21,14,34,36,50000
2008-03-07,7,18,8,11,32,66000
2008-03-08,34,14,16,9,33,121000
2008-03-09,30,27,5,13,39,50000
2008-03-10,8,25,11,27,28,55000
2008-03-11,16,32,33,39,5,92000
2008-03-12,7,29,30,17,16,50000
2008-03-13,24,4,38,1,14,78000
2008-03-14,29,21,25,13,2,116000
2008-03-15,17,38,10,11,22,170000
2008-03-16,38,36,21,27,30,218000
2008-03-17,22,21,12,33,37,258000
2008-03-18,30,39,21,25,35,324000
2008-03-19,8,39,15,20,7,414000
2008-03-20,37,7,25,32,22,527000
2008-03-21,23,31,20,32,15,50000
2008-03-22,22,2,28,33,5,50000
2008-03-23,15,32,10,5,29,73000
2008-03-24,14,25,12,21,3,108000
2008-03-25,6,35,10,37,13,153000
2008-03-26,2,15,6,19,39,50000
2008-03-27,8,38,34,15,9,50000
2008-03-28,29,34,20,38,12,69000
2008-03-29,19,23,30,20,3,119000
2008-03-30,22,39,24,5,30,160000
2008-03-31,39,16,36,5,15,200000
2008-04-01,15,9,30,4,37,261000
2008-04-02,6,23,18,28,32,50000
2008-04-03,34,20,39,27,36,78000
2008-04-04,7,16,29,15,9,123000
2008-04-05,8,31,18,27,35,178000
2008-04-06,8,2,26,33,27,50000
2008-04-07,21,5,18,14,37,59000
2008-04-08,1,18,29,37,17,96000
2008-04-09,15,24,7,23,8,145000
2008-04-10,7,25,32,20,10,188000
2008-04-11,22,12,8,3,29,236000
2008-04-12,10,6,25,22,19,304000
2008-04-13,26,28,2,32,15,360000
2008-04-14,13,15,8,6,22,50000
2008-04-15,2,10,6,7,25,67000
2008-04-16,22,10,34,2,14,50000
2008-04-17,16,22,6,1,4,50000
2008-04-18,39,37,26,36,17,67000
2008-04-19,38,13,23,31,15,114000
2008-04-20,34,10,3,38,4,50000
2008-04-21,16,26,22,7,19,56000
2008-04-22,23,36,3,7,14,91000
2008-04-23,8,36,2,21,9,135000
2008-04-24,28,2,12,4,29,180000
2008-04-25,14,19,5,25,3,229000
2008-04-26,26,5,9,2,4,295000
2008-04-27,24,22,30,11,6,341000
2008-04-28,27,6,17,13,20,50000
2008-04-29,15,19,24,5,32,66000
2008-04-30,37,12,14,2,9,103000
2008-05-01,20,8,38,30,1,142000
2008-05-02,35,30,16,26,10,192000
2008-05-03,28,21,20,6,9,50000
2008-05-04,22,7,20,11,33,69000
2008-05-05,16,28,30,36,29,102000
2008-05-06,15,3,11,19,26,50000
2008-05-07,19,4,9,27,20,72000
2008-05-08,17,2,15,4,8,102000
2008-05-09,12,25,39,24,31,50000
2008-05-10,9,17,34,12,36,75000
2008-05-11,34,27,18,32,5,96000
2008-05-12,28,17,23,6,38,133000
2008-05-13,8,12,26,34,11,178000
2008-05-14,30,6,26,21,13,227000
2008-05-15,3,6,1,23,17,280000
2008-05-16,10,30,31,9,8,341000
2008-05-17,34,24,30,3,13,50000
2008-05-18,14,30,29,19,24,64000
2008-05-19,5,7,10,25,36,92000
2008-05-20,12,6,9,26,21,130000
2008-05-21,4,33,15,28,1,50000
2008-05-22,33,12,17,1,39,50000
2008-05-23,13,14,35,22,10,60000
2008-05-24,12,1,29,34,2,104000
2008-05-25,24,30,14,37,4,50000
2008-05-26,33,1,11,30,6,53000
2008-05-27,34,10,18,27,38,75000
2008-05-28,9,4,17,15,12,117000
2008-05-29,38,12,31,25,30,164000
2008-05-30,19,36,14,15,21,203000
2008-05-31,32,10,18,39,20,264000
2008-06-01,6,11,32,7,25,308000
2008-06-02,12,5,35,36,16,373000
2008-06-03,27,11,25,20,39,453000
2008-06-04,3,6,2,38,7,568000
2008-06-05,11,30,21,7,38,50000
2008-06-06,22,16,30,3,36,69000
2008-06-07,26,2,28,7,33,112000
2008-06-08,8,6,31,12,11,140000
2008-06-09,24,29,30,36,31,177000
2008-06-10,24,39,35,1,6,225000
2008-06-11,23,32,28,33,39,286000
2008-06-12,2,32,37,10,34,345000
2008-06-13,24,3,27,25,1,420000
2008-06-14,35,7,21,39,28,50000
2008-06-15,1,7,23,22,25,75000
2008-06-16,25,38,32,21,34,97000
2008-06-17,24,36,8,34,22,137000
2008-06-18,20,38,30,17,21,194000
2008-06-19,23,19,2,5,32,243000
2008-06-20,9,7,13,3,8,317000
2008-06-21,3,8,35,6,18,50000
2008-06-22,39,6,19,9,16,67000
2008-06-23,17,8,10,20,6,96000
2008-06-24,39,34,28,26,15,137000
2008-06-25,9,16,22,18,5,186000
2008-06-26,4,13,22,14,9,50000
2008-06-27,14,38,35,12,22,63000
2008-06-28,33,35,28,32,19,72000
2008-06-29,38,13,30,14,18,101000
2008-06-30,6,3,13,10,11,50000
2008-07-01,23,28,24,30,17,61000
2008-07-02,19,38,5,26,34,105000
2008-07-03,34,15,27,32,1,146000
2008-07-04,8,39,29,15,19,50000
2008-07-05,33,39,22,5,6,73000
2008-07-06,18,38,32,6,7,100000
2008-07-07,7,32,1,38,6,136000
2008-07-08,4,32,10,6,36,50000
2008-07-09,12,7,39,10,25,69000
2008-07-10,16,17,7,13,24,107000
2008-07-11,14,9,16,12,30,149000
2008-07-12,26,39,2,20,8,199000
2008-07-13,35,28,1,8,34,242000
2008-07-14,13,36,35,14,19,293000
2008-07-15,2,5,28,17,30,375000
2008-07-16,33,14,2,1,24,50000
2008-07-17,7,21,22,30,24,89000
2008-07-18,4,11,23,6,37,130000
2008-07-19,37,27,24,32,16,191000
2008-07-20,1,2,32,3,37,234000
2008-07-21,6,35,31,7,29,285000
2008-07-22,12,16,34,20,19,355000
2008-07-23,5,17,19,1,3,50000
2008-07-24,32,1,17,20,15,50000
2008-07-25,12,15,35,23,4,70000
2008-07-26,24,4,7,27,5,50000
2008-07-27,1,27,26,11,32,72000
2008-07-28,13,6,36,16,34,101000
2008-07-29,2,36,13,20,27,147000
2008-07-30,36,37,14,33,12,50000
2008-07-31,1,11,33,26,13,77000
2008-08-01,7,30,4,19,27,115000
2008-08-02,9,34,28,22,2,174000
2008-08-03,33,35,4,23,17,214000
2008-08-04,2,8,34,33,13,261000
2008-08-05,25,28,16,39,2,318000
2008-08-06,34,20,37,6,14,393000
2008-08-07,38,6,32,20,19,470000
2008-08-08,20,15,10,23,3,575000
2008-08-09,35,30,19,15,27,50000
2008-08-10,6,39,12,2,7,70000
2008-08-11,13,35,30,11,12,99000
2008-08-12,31,13,30,35,29,140000
2008-08-13,33,11,3,27,35,50000
2008-08-14,22,11,37,30,23,74000
2008-08-15,3,7,30,31,14,108000
2008-08-16,34,8,9,28,33,159000
2008-08-17,25,28,24,37,6,194000
2008-08-18,31,3,6,30,13,233000
2008-08-19,26,20,4,36,6,50000
2008-08-20,10,15,1,7,35,66000
2008-08-21,30,25,24,16,27,102000
2008-08-22,3,6,37,32,29,50000
2008-08-23,1,4,30,21,8,71000
2008-08-24,10,12,18,22,1,99000
2008-08-25,31,8,38,11,17,129000
2008-08-26,22,6,3,35,39,167000
2008-08-27,28,4,19,39,34,216000
2008-08-28,27,2,5,21,35,266000
2008-08-29,16,38,22,26,32,50000
2008-08-30,16,22,31,10,18,73000
2008-08-31,26,36,24,5,4,98000
2008-09-01,29,15,27,34,26,129000
2008-09-02,23,5,9,17,35,163000
2008-09-03,17,23,16,31,28,50000
2008-09-04,10,24,37,20,33,68000
2008-09-05,13,12,21,33,30,99000
2008-09-06,5,20,34,38,32,151000
2008-09-07,23,29,34,3,26,50000
2008-09-08,1,24,2,29,30,53000
2008-09-09,4,36,35,32,18,79000
2008-09-10,35,16,24,38,1,120000
2008-09-11,36,8,15,28,19,165000
2008-09-12,5,13,33,9,20,208000
2008-09-13,28,9,2,39,13,255000
2008-09-14,16,32,14,13,38,50000
2008-09-15,29,12,8,39,6,50000
2008-09-16,9,16,28,33,31,53000
2008-09-17,14,35,2,32,22,87000
2008-09-18,29,32,31,24,23,124000
2008-09-19,4,25,26,7,30,158000
2008-09-20,30,12,39,14,11,211000
2008-09-21,5,27,30,16,4,254000
2008-09-22,4,30,20,26,39,302000
2008-09-23,26,36,13,24,6,373000
2008-09-24,38,24,25,28,27,50000
2008-09-25,35,28,29,7,32,70000
2008-09-26,1,33,28,34,35,100000
2008-09-27,21,25,9,39,10,145000
2008-09-28,6,23,16,14,3,50000
2008-09-29,22,30,26,9,8,50000
2008-09-30,15,6,3,10,29,53000
2008-10-01,32,38,4,8,24,86000
2008-10-02,9,5,38,30,10,123000
